sg_ott,sg_app,sg_arg,sg_putt,mse,rmse
1.3,1.0,0.7,0.6,7.8667882918490575,2.8047795442510375
1.3,1.0,1.0,0.5,7.86696804708951,2.804811588518828
1.4,1.0,0.8,0.6,7.867357222172334,2.8048809639933623
1.1,1.0,0.7,0.5,7.86811672476765,2.8050163501783105
1.2,1.0,0.8,0.5,7.8681222065234495,2.8050173273125156
1.3,1.0,0.9,0.5,7.868969097370591,2.8051682832533578
0.9,1.0,1.0,0.4,7.869752328046741,2.805307884715462
1.0,1.0,1.0,0.4,7.869985991609472,2.805349531094026
0.9,1.0,0.9,0.4,7.870150572367581,2.8053788643189677
1.4,1.0,1.0,0.5,7.870433684643088,2.805429322696098
1.0,1.0,0.9,0.4,7.870937524554727,2.805519118550919
1.4,1.0,0.7,0.6,7.871043291696097,2.8055379683219575
1.1,1.0,1.0,0.4,7.871370973426347,2.805596366804453
1.2,1.0,0.7,0.5,7.8714974914535345,2.8056189141530847
0.9,1.0,0.8,0.4,7.871560734682723,2.805630184946463
1.3,1.0,0.8,0.5,7.871795672403855,2.805672053609234
1.4,1.0,0.9,0.5,7.8728090189036415,2.8058526367048646
1.1,1.0,0.9,0.4,7.872828888982588,2.8058561775298796
1.0,1.0,0.8,0.4,7.872859783608139,2.8058616829074343
1.2,1.0,1.0,0.4,7.873669016993536,2.8060058832784964
0.9,1.0,0.7,0.4,7.874073477953362,2.806077952935977
1.1,1.0,0.8,0.4,7.875212674633276,2.8062809329490297
1.3,1.0,0.7,0.5,7.875494045990493,2.8063310649298834
1.2,1.0,0.9,0.4,7.875583393454598,2.806346983794876
1.0,1.0,0.7,0.4,7.875829510920998,2.8063908336012284
1.4,1.0,0.8,0.5,7.875964945199545,2.806414963115673
1.3,1.0,1.0,0.4,7.876679516892691,2.8065422706406347
1.2,1.0,0.8,0.4,7.878376798772287,2.806844633885582
1.1,1.0,0.7,0.4,7.878586811159063,2.806882044397139
1.3,1.0,0.9,0.4,7.8790002025893076,2.8069556823343875
1.4,1.0,0.7,0.5,7.879939887913124,2.807123062481074
1.4,1.0,1.0,0.4,7.880235587604347,2.8071757315145676
0.9,1.0,1.0,0.3,7.881111677337766,2.8073317718676867
1.0,1.0,1.0,0.3,7.881471443821487,2.8073958473684266
0.9,1.0,0.9,0.3,7.881957027224341,2.8074823289246793
1.2,1.0,0.7,0.4,7.882103059192228,2.8075083364421607
1.3,1.0,0.8,0.4,7.882152420155589,2.8075171273129556
1.0,1.0,0.9,0.3,7.882848092738711,2.8076410192078884
1.4,1.0,0.9,0.4,7.882914055474907,2.807652766186536
1.1,1.0,1.0,0.3,7.882929077510567,2.807655441379972
0.9,1.0,0.8,0.3,7.883825943162241,2.8078151547354824
1.1,1.0,0.9,0.3,7.884788574929103,2.8079865695777646
1.0,1.0,0.8,0.3,7.885203266699212,2.808060410087221
1.2,1.0,1.0,0.3,7.885252197854754,2.8080691226988614
1.3,1.0,0.7,0.4,7.886180832790803,2.80823446898417
1.4,1.0,0.8,0.4,7.88637691437927,2.8082693806647665
0.9,1.0,0.7,0.3,7.88680624136775,2.808345819404681
1.2,1.0,0.9,0.3,7.887543983327581,2.8084771644661064
1.1,1.0,0.8,0.3,7.8875785616337,2.8084833205190485
1.3,1.0,1.0,0.3,7.8882463909401395,2.808602213012754
1.0,1.0,0.7,0.3,7.888610872213758,2.808667098859129
1.4,1.0,0.7,0.4,7.890661009660891,2.809032041408729
1.2,1.0,0.8,0.3,7.89071683989675,2.809041979020027
1.3,1.0,0.9,0.3,7.890920355317019,2.809078203844994
1.1,1.0,0.7,0.3,7.891360784085592,2.8091565965758463
1.4,1.0,1.0,0.3,7.891750842278899,2.809226021928264
1.3,1.0,0.8,0.3,7.894425840502145,2.8097020910591475
1.4,1.0,0.9,0.3,7.894758991016829,2.8097613761700173
1.2,1.0,0.7,0.3,7.894822014942527,2.8097725913216762
1.4,1.0,0.8,0.3,7.898549910055227,2.8104358932477407
1.3,1.0,0.7,0.3,7.898805114749883,2.810481295925999
1.4,1.0,0.7,0.3,7.903158244797581,2.811255634907217
