tourn_round_id,course_difficulty
100_2017_541_1,73.66355696545517
100_2017_541_2,75.70536099829332
100_2017_541_3,71.3146237224822
100_2017_541_4,72.26214633369078
100_2018_658_1,74.03657392158237
100_2018_658_2,73.75381905100969
100_2018_658_3,71.74969611389257
100_2018_658_4,74.68668510284434
100_2019_885_1,73.53912733586839
100_2019_885_2,71.95278163640407
100_2019_885_3,72.36181543546313
100_2019_885_4,74.52010484084002
100_2021_778_1,70.99432575542802
100_2021_778_2,70.42809046765441
100_2021_778_3,71.55572197859047
100_2021_778_4,70.30906144750378
100_2022_668_1,72.65103877603963
100_2022_668_2,71.58396610352558
100_2022_668_3,71.91677775292695
100_2022_668_4,70.19020657659664
100_2023_724_1,72.86181651861679
100_2023_724_2,72.99810843473078
100_2023_724_3,70.70399037109148
100_2023_724_4,72.79048247317223
100_2024_709_1,74.00202636819333
100_2024_709_2,73.81616636138556
100_2024_709_3,72.36023880517193
100_2024_709_4,72.99186965987595
100_2025_885_1,72.4798628228059
100_2025_885_2,70.79960956987594
100_2025_885_3,70.05036927735674
100_2025_885_4,69.91686224278145
10_2017_734_1,71.84368906087403
10_2017_734_2,72.15710310434008
10_2017_734_3,71.71662251139445
10_2017_734_4,73.92593669984433
10_2018_734_1,73.63216899824687
10_2018_734_2,74.12714911563606
10_2018_734_3,72.10071307612901
10_2018_734_4,72.66583441581884
10_2019_734_1,71.41011638257562
10_2019_734_2,71.96126571114732
10_2019_734_3,71.36939746036647
10_2019_734_4,71.61746624970561
10_2020_734_1,72.32626899476864
10_2020_734_2,72.46935061847138
10_2020_734_3,72.54577728559501
10_2020_734_4,71.74562966518039
10_2021_734_1,71.40707433058485
10_2021_734_2,70.58799248751384
10_2021_734_3,71.68262494871398
10_2021_734_4,71.1179731551481
10_2022_734_1,71.11214237337134
10_2022_734_2,71.37630938967493
10_2022_734_3,72.17726775557642
10_2022_734_4,70.21185786791068
10_2023_734_1,70.24856734504601
10_2023_734_2,69.55063374011985
10_2023_734_3,68.68027229078155
10_2023_734_4,69.4987973326661
10_2024_928_1,68.98176002147697
10_2024_928_2,70.7688490142155
10_2024_928_3,69.69979171624561
10_2024_928_4,68.5488560898631
10_2025_928_1,67.87844284299146
10_2025_928_2,68.72196262284507
10_2025_928_3,68.46422724173254
10_2025_928_4,70.07568462555707
11_2017_11_1,74.77023354241578
11_2017_11_2,75.13675039146064
11_2017_11_3,76.37814802335427
11_2017_11_4,75.98503623757708
11_2018_11_1,73.39511017717979
